"OBJECTID","DISCOVERY_DOY","FIRE_YEAR","FIRE_DATE","SEASON","STAT_CAUSE","STAT_CAUSE_DESCR","STATE","FIRE_SIZE"
1088983,240,1992,1992-08-27,"Summer","Equipment Use","Equipment Use","CA",0.1
1088431,48,2007,2007-02-17,"Winter","Miscellaneous","Miscellaneous","CA",1
1104417,247,1999,1999-09-04,"Summer","Miscellaneous","Miscellaneous","CA",0.1
1788905,166,2014,2014-06-15,"Spring","Missing/Undefined","Missing/Undefined","CA",0.2
214900,107,1999,1999-04-17,"Spring","Arson","Arson","CA",2
320765,250,2006,2006-09-07,"Summer","Miscellaneous","Miscellaneous","CA",0.1
57805,189,1993,1993-07-08,"Summer","Miscellaneous","Miscellaneous","CA",30
140488,220,2001,2001-08-08,"Summer","Miscellaneous","Miscellaneous","CA",0.1
1568348,300,2012,2012-10-26,"Fall","Equipment Use","Equipment Use","CA",0.1
1107506,272,2005,2005-09-29,"Fall","Equipment Use","Equipment Use","CA",0.1
1608873,227,2012,2012-08-14,"Summer","Equipment Use","Equipment Use","CA",1
370252,34,2006,2006-02-03,"Winter","Miscellaneous","Miscellaneous","CA",0.1
1132912,248,2001,2001-09-05,"Summer","Campfire/Children/Smoking/Fireworks","Children","CA",0.1
26173,332,2007,2007-11-28,"Fall","Debris Burning","Debris Burning","CA",20
1625909,98,2012,2012-04-07,"Spring","Missing/Undefined","Missing/Undefined","CA",1
1144125,214,1993,1993-08-02,"Summer","Debris Burning","Debris Burning","CA",12
19679,188,2007,2007-07-07,"Summer","Lightning","Lightning","CA",0.25
1651198,143,2013,2013-05-23,"Spring","Arson","Arson","CA",0.5
281558,179,2000,2000-06-27,"Summer","Arson","Arson","CA",0.2
1090979,148,1999,1999-05-28,"Spring","Debris Burning","Debris Burning","CA",2
1654266,224,2013,2013-08-12,"Summer","Arson","Arson","CA",0.25
1070371,229,2007,2007-08-17,"Summer","Miscellaneous","Miscellaneous","CA",1
1496927,340,2011,2011-12-06,"Fall","Miscellaneous","Miscellaneous","CA",0.1
1178525,208,2010,2010-07-27,"Summer","Lightning","Lightning","CA",0.5
80325,187,1995,1995-07-06,"Summer","Lightning","Lightning","CA",0.1
365671,196,2002,2002-07-15,"Summer","Miscellaneous","Miscellaneous","CA",0.3
1654482,195,2013,2013-07-14,"Summer","Arson","Arson","CA",2.5
1079652,240,1992,1992-08-27,"Summer","Equipment Use","Equipment Use","CA",0.1
314303,261,2000,2000-09-17,"Summer","Equipment Use","Equipment Use","CA",0.1
1123574,128,2007,2007-05-08,"Spring","Debris Burning","Debris Burning","CA",1.2
1791199,186,2015,2015-07-05,"Summer","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.1
1654023,188,2013,2013-07-07,"Summer","Equipment Use","Equipment Use","CA",1
162637,204,2003,2003-07-23,"Summer","Lightning","Lightning","CA",0.1
218591,220,1999,1999-08-08,"Summer","Arson","Arson","CA",0.3
243112,245,1998,1998-09-02,"Summer","Lightning","Lightning","CA",1
118344,145,1999,1999-05-25,"Spring","Equipment Use","Equipment Use","CA",0.1
132203,122,2000,2000-05-01,"Spring","Miscellaneous","Miscellaneous","CA",0.1
164840,102,2004,2004-04-11,"Spring","Debris Burning","Debris Burning","CA",0.25
33032,196,2008,2008-07-14,"Summer","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.01
1100326,145,2002,2002-05-25,"Spring","Equipment Use","Equipment Use","CA",2
370496,188,2006,2006-07-07,"Summer","Debris Burning","Debris Burning","CA",0.2
283667,150,2001,2001-05-30,"Spring","Powerline/Railroad/Structure","Railroad","CA",0.1
23762,192,2007,2007-07-11,"Summer","Lightning","Lightning","CA",0.01
1115400,177,2001,2001-06-26,"Summer","Arson","Arson","CA",0.2
1741958,111,2014,2014-04-21,"Spring","Equipment Use","Equipment Use","CA",1
1126629,216,2009,2009-08-04,"Summer","Campfire/Children/Smoking/Fireworks","Smoking","CA",0.3
1870618,244,2015,2015-09-01,"Summer","Campfire/Children/Smoking/Fireworks","Smoking","CA",0.2
1875854,307,2009,2009-11-03,"Fall","Powerline/Railroad/Structure","Powerline","CA",0.1
1104151,70,1993,1993-03-11,"Winter","Miscellaneous","Miscellaneous","CA",0.1
1097289,240,1999,1999-08-28,"Summer","Equipment Use","Equipment Use","CA",0.1
1878592,120,2009,2009-04-30,"Spring","Miscellaneous","Miscellaneous","CA",0.05
192432,290,1997,1997-10-17,"Fall","Debris Burning","Debris Burning","CA",0.1
81027,176,1995,1995-06-25,"Summer","Lightning","Lightning","CA",0.1
310658,264,2002,2002-09-21,"Summer","Miscellaneous","Miscellaneous","CA",0.2
317771,323,2007,2007-11-19,"Fall","Campfire/Children/Smoking/Fireworks","Children","CA",0.1
1121324,174,2004,2004-06-22,"Summer","Miscellaneous","Miscellaneous","CA",0.6
1456860,194,2011,2011-07-13,"Summer","Debris Burning","Debris Burning","CA",0.1
107824,253,1998,1998-09-10,"Summer","Lightning","Lightning","CA",0.5
1722223,230,2014,2014-08-18,"Summer","Lightning","Lightning","CA",0.4
1115365,117,1998,1998-04-27,"Spring","Debris Burning","Debris Burning","CA",1
1086176,186,1997,1997-07-05,"Summer","Miscellaneous","Miscellaneous","CA",1
1144748,209,1997,1997-07-28,"Summer","Miscellaneous","Miscellaneous","CA",0.2
