Company,Language,Commits
Verizon Media,C++,2
Alibaba,Go,2
WIX,Java,1
Snyk,CSS,3
Travis CI,Groovy,3
Oracle,None,3
Kainos,Python,4
Renovateapp,Scala,1
Ericsson,None,1
tweag.io,Haskell,1
Samsung,Go,1
Mozilla,HTML,3
Adobe,JavaScript,2
IBM,PowerShell,16
IBM,None,16
Lyft,None,2
Grafana,TypeScript,6
Gradle,Groovy,56
Collabora,None,11
Intel,Jinja,1
Renovateapp,Ruby,50
Renovateapp,Dart,13
Renovateapp,Go,504
SAP,Go,26
Pivotal,Go,16
Cisco Systems,Python,16
Bosch,Java,1
Bloomberg,HTML,2
Samsung,None,3
VMware,Mustache,2
Google,Groovy,1
MariaDB,C,1
Travis CI,Scala,1
JetBrains,C++,1
eBay,None,1
Yandex,PHP,1
Infosiftr,Shell,230
D2iQ,Python,1
Renovateapp,HTML,33
Microsoft,Q#,2
Citrix,C,1
Facebook,Swift,1
IBM,Shell,1
Google,Go,78
Travis CI,JavaScript,89
Samsung,Java,4
GatsbyJS,None,1
ARM,C++,5
Renovateapp,TypeScript,696
Intel,Python,33
Pyup,JavaScript,1
Linaro,Jinja,1
AMD,C++,21
JankariTech,PHP,25
SiFive,Scala,4
Yandex,None,1
H2O.ai,Python,3
Bitnami,Jsonnet,9
Mapbox,JavaScript,6
IBM,HTML,5
SUSE,Smarty,1
HERE,C++,1
JetBrains,None,58
Renovateapp,None,12
mongoDB,TypeScript,8
ArangoDB,JavaScript,1
HERE,TypeScript,4
Netflix,Go,1
Splunk,C,1
Renovateapp,SCSS,13
Iohk,Nix,2
Alibaba,TypeScript,3
Travis CI,Objective-C,1
Microsoft,TypeScript,115
Synopsys,Java,3
GatsbyJS,JavaScript,1
Renovateapp,PHP,12
Microsoft,Go,46
SAP,Nunjucks,2
Renovateapp,Python,37
Adguard,Go,4
Buoyant,Rust,6
TeamDev,Java,1
Microsoft,Scala,1
